word_id,word,status,morpheme_path
WORD0001,고민,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0001_REAL01_F_morpheme.json"
WORD0002,뻔뻔,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0002_REAL01_F_morpheme.json"
WORD0003,수어,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0003_REAL01_F_morpheme.json"
WORD0004,남아,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0004_REAL01_F_morpheme.json"
WORD0005,눈,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0005_REAL01_F_morpheme.json"
WORD0006,독신,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0006_REAL01_F_morpheme.json"
WORD0007,음료수,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0007_REAL01_F_morpheme.json"
WORD0008,발가락,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0008_REAL01_F_morpheme.json"
WORD0009,슬프다,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0009_REAL01_F_morpheme.json"
WORD0010,자극,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0010_REAL01_F_morpheme.json"
WORD0011,안타깝다,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0011_REAL01_F_morpheme.json"
WORD0012,어색하다,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0012_REAL01_F_morpheme.json"
WORD0013,여아,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0013_REAL01_F_morpheme.json"
WORD0014,외국인,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0014_REAL01_F_morpheme.json"
WORD0015,영아,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0015_REAL01_F_morpheme.json"
WORD0016,신사,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0016_REAL01_F_morpheme.json"
WORD0017,뉴질랜드,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0017_REAL01_F_morpheme.json"
WORD0018,나사렛대학교,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0018_REAL01_F_morpheme.json"
WORD0019,알아서,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0019_REAL01_F_morpheme.json"
WORD0020,장애인,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0020_REAL01_F_morpheme.json"
WORD0021,열아홉번째,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0021_REAL01_F_morpheme.json"
WORD0022,침착,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0022_REAL01_F_morpheme.json"
WORD0023,성실,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0023_REAL01_F_morpheme.json"
WORD0024,학교연혁,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0024_REAL01_F_morpheme.json"
WORD0025,싫어하다,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0025_REAL01_F_morpheme.json"
WORD0026,급하다,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0026_REAL01_F_morpheme.json"
WORD0027,필기시험,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0027_REAL01_F_morpheme.json"
WORD0028,병문안,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0028_REAL01_F_morpheme.json"
WORD0029,검사,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0029_REAL01_F_morpheme.json"
WORD0030,결승전,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0030_REAL01_F_morpheme.json"
WORD0031,낚시터,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0031_REAL01_F_morpheme.json"
WORD0032,낚시대,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0032_REAL01_F_morpheme.json"
WORD0033,당뇨병,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0033_REAL01_F_morpheme.json"
WORD0034,독서,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0034_REAL01_F_morpheme.json"
WORD0035,매표소,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0035_REAL01_F_morpheme.json"
WORD0036,면역,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0036_REAL01_F_morpheme.json"
WORD0037,감기,ok,"D:\매핑용( 단어 생성 비디오, 단어)\map_syn\datasets\morpheme\01\NIA_SL_WORD0037_REAL01_F_morpheme.json"
